Bagua;Amazonas
Bongará;Amazonas
Chachapoyas;Amazonas
Condorcanqui;Amazonas
Luya;Amazonas
Rodríguez de Mendoza;Amazonas
Utcubamba;Amazonas
Aija;Ancash
Antonio Raymondi;Ancash
Asunción;Ancash
Bolognesi;Ancash
Carhuaz;Ancash
Carlos F. Fitzcarrald;Ancash
Casma;Ancash
Corongo;Ancash
Huaraz;Ancash
Huari;Ancash
Huarmey;Ancash
Huaylas;Ancash
Mariscal Luzuriaga;Ancash
Ocros;Ancash
Pallasca;Ancash
Pomabamba;Ancash
Recuay;Ancash
Santa;Ancash
Sihuas;Ancash
Yungay;Ancash
Abancay;Apurímac
Andahuaylas;Apurímac
Antabamba;Apurímac
Aymaraes;Apurímac
Chincheros;Apurímac
Cotabambas;Apurímac
Grau;Apurímac
Arequipa;Arequipa
Camaná;Arequipa
Caravelí;Arequipa
Castilla;Arequipa
Caylloma;Arequipa
Condesuyos;Arequipa
Islay;Arequipa
La Unión;Arequipa
Cangallo;Ayacucho
Huamanga;Ayacucho
Huanca Sancos;Ayacucho
Huanta;Ayacucho
La Mar;Ayacucho
Lucanas;Ayacucho
Parinacochas;Ayacucho
Páucar del Sara Sara;Ayacucho
Sucre;Ayacucho
Víctor Fajardo;Ayacucho
Vilcashuamán;Ayacucho
Cajabamba;Cajamarca
Cajamarca;Cajamarca
Celendín;Cajamarca
Chota;Cajamarca
Contumazá;Cajamarca
Cutervo;Cajamarca
Hualgayoc;Cajamarca
Jaén;Cajamarca
San Ignacio;Cajamarca
San Marcos;Cajamarca
San Miguel;Cajamarca
San Pablo;Cajamarca
Santa Cruz;Cajamarca
Callao;Callao
Acomayo;Cusco
Anta;Cusco
Calca;Cusco
Canas;Cusco
Canchis;Cusco
Chumbivilcas;Cusco
Cuzco;Cusco
Espinar;Cusco
La Convención;Cusco
Paruro;Cusco
Paucartambo;Cusco
Quispicanchi;Cusco
Urubamba;Cusco
Acobamba;Huancavelica
Angaraes;Huancavelica
Castrovirreyna;Huancavelica
Churcampa;Huancavelica
Huancavelica;Huancavelica
Huaytará;Huancavelica
Tayacaja;Huancavelica
Ambo;Huánuco
Dos de Mayo;Huánuco
Huacaybamba;Huánuco
Huamalíes;Huánuco
Huánuco;Huánuco
Lauricocha;Huánuco
Leoncio Prado;Huánuco
Marañón;Huánuco
Pachitea;Huánuco
Puerto Inca;Huánuco
Yarowilca;Huánuco
Chincha;Ica
Ica;Ica
Nazca;Ica
Palpa;Ica
Pisco;Ica
Chanchamayo;Junín
Chupaca;Junín
Concepción;Junín
Huancayo;Junín
Jauja;Junín
Junín;Junín
Satipo;Junín
Tarma;Junín
Yauli;Junín
Ascope;La Libertad
Bolívar;La Libertad
Chepén;La Libertad
Gran Chimú;La Libertad
Julcán;La Libertad
Otuzco;La Libertad
Pacasmayo;La Libertad
Pataz;La Libertad
Sánchez Carrión;La Libertad
Santiago de Chuco;La Libertad
Trujillo;La Libertad
Virú;La Libertad
Chiclayo;Lambayeque
Ferreñafe;Lambayeque
Lambayeque;Lambayeque
Barranca;Lima
Cajatambo;Lima
Canta;Lima
Cañete;Lima
Huaral;Lima
Huarochirí;Lima
Huaura;Lima
Lima;Lima
Oyón;Lima
Yauyos;Lima
Alto Amazonas;Loreto
Datem del Marañón;Loreto
Loreto;Loreto
Mariscal Ramón Castilla;Loreto
Maynas;Loreto
Putumayo;Loreto
Requena;Loreto
Ucayali;Loreto
Manu;Madre de Dios
Tahuamanu;Madre de Dios
Tambopata;Madre de Dios
General Sánchez Cerro;Moquegua
Ilo;Moquegua
Mariscal Nieto;Moquegua
Daniel A. Carrión;Pasco
Oxapampa;Pasco
Pasco;Pasco
Ayabaca;Piura
Huancabamba;Piura
Morropón;Piura
Paita;Piura
Piura;Piura
Sechura;Piura
Sullana;Piura
Talara;Piura
Azángaro;Puno
Carabaya;Puno
Chucuito;Puno
El Collao;Puno
Huancané;Puno
Lampa;Puno
Melgar;Puno
Moho;Puno
Puno;Puno
San Antonio de Putina;Puno
San Román;Puno
Sandia;Puno
Yunguyo;Puno
Bellavista;San Martín
El Dorado;San Martín
Huallaga;San Martín
Lamas;San Martín
Mariscal Cáceres;San Martín
Moyobamba;San Martín
Picota;San Martín
Rioja;San Martín
San Martín;San Martín
Tocache;San Martín
Candarave;Tacna
Jorge Basadre;Tacna
Tacna;Tacna
Tarata;Tacna
Contralmirante Villar;Tumbes
Tumbes;Tumbes
Zarumilla;Tumbes
Atalaya;Ucayali
Coronel Portillo;Ucayali
Padre Abad;Ucayali
Purús;Ucayali
